,,,,,,,,,,,,,,,,,,,,,,
"[R2 U': [S, R2]]",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"[L2' U: [S', L2]]","[M2 U: [M, U2]]",,,,,,,,,,,,,,,,,,,,,
"[U' M U': [M', U2]]","[S', L F' L']",,flip,,,,,,,,,,,,,,,,,,,
"[U': [R' E R, U2]]","[U', R' E R]",,"[U': [R' E R, U']]","[S: [U', R' E R]]",,,,,,,,,,,,,,,,,,
"[U: [L' E' L, U2]]","[U: [L' E' L, U]]",,"[U, L' E' L]","[l' U L': [S', L2]]","[L, D M D']",,,,,,,,,,,,,,,,,
"[U': [R E' R', U2]]","[U', R E' R']",,"[U': [R E' R', U']]","[S: [U', R E' R']]","[M' U L: [S', L2]]","[D M D', L']",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"[R' U': [S, R2]]","[E': [U', R' E R]]",,"[U, L' E2 L]","[M': [U', R S' R']]","[E, R U' R']","[D: [U' R U, M']]","[R: [R E' R', U']]",,,,,,,,,,,,,,,
"[R' F': [R U R', E]]","[r: [U' R' U, M]]",,"[l': [U L U', M]]","[l': [M', U' L U]]","[z: [L' U L, E']]","[U: [L F L', S]]","[z: [L' U' L, E']]",,"[M', U' R U]",,,,,,,,,,,,,
"[L U: [S', L2]]","[U', R E2 R']",,"[E: [U, L E' L']]","[L' U2: [L S L', U]]",flip,"[L f' L': [S, L2]]","[E, L' U L]",,"[R' U' R: [E, R2]]","[U L' U', M']",,,,,,,,,,,,
"[U M U: [M', U2']]",flip,,"[S, R' F R]","[M U: [M', U2]]","[L' M U: [M', U2]]","[L F' L: [S', L2]]","[l U: [M', U2]]",,"[R U: [R' S' R, U]]","[r: [U R' U', M']]","[R': [E, r U r']]",,,,,,,,,,,
"[U: [L' E L, U2]]","[U: [L' E L, U]]",,"[U, L' E L]","[r' U: [M', U2]]","[r U R': [E, R2]]","[L F': [E, L2']]","[u' L: [S', L2]]",,"[R U' R', E']","[z': [E, R U R']]","[L': [U, L' E L]] ","[S': [U, L' E L]]",,,,,,,,,,
"[U': [R E R', U2]]","[U', R E R']",,"[U': [R E R', U']]","[R' F R: [S, R2]]","[M' U R': [E, R2]]","[R' F R': [S', R2]]","[R' F: [R2, E']]",,"[R' f R': [S', R2]]","[U': [S', R' F' R]]","[D': [M', U L' U']]","[r U' R: [S, R2']]","[R, D' M D]",,,,,,,,,
"[U: [L E' L', U2]]","[U: [L E' L', U]]",,"[U, L E' L']","[R M U: [M', U2]]","[U E R': [S, R2]]","[M' U' L': [E', L2]]","[l' U' L': [E', L2]]",,flip,"[z': [E, R U' R']]","[E, r U r']","[S': [U, L E' L']]","[M' U' R: [S, R2]]","[D' M D, R']",,,,,,,,
flip,"[r': [U' R U, M']]",,"[l: [U L' U', M']]","[L': [U' L U, M']]","[U' L' U, M']","[L': [U' L' U, M']]","[U' L U, M']",,"[M, U' R U]","[U': [S, R' F' R]]","[M, U L' U']","[R: [U R' U', M']]","[U R' U', M']","[R: [U R U', M']]","[U R U', M']",,,,,,,
